texlive-publishers 2018.50030-1
texlive-science 2018.50013-1
thunderbird 60.6.1-2
tor 0.3.5.8-1
traceroute 2.1.0-2
tracker-miners 2.2.2-1
transmission-cli 2.94-1
transmission-gtk 2.94-1
uim 1.8.8-4
usbutils 010-1
util-linux 2.33.2-1
vibrancy-colors 2.7-2
virtualbox 6.0.6-2
virtualbox-host-modules-arch 6.0.6-8
vlc 3.0.6-11
vpnc 1:0.5.3.r454.r67-1
wget 1.20.3-1
which 2.21-3
whois 5.4.2-1
wireshark-qt 3.0.1-1
wmctrl 1.07-5
wpa_actiond 1.4-3
wpa_supplicant 2:2.8-1
xbindkeys 1.8.6-3
xclip 0.13-2
xdg-user-dirs-gtk 0.10+9+g5b7efc6-2
xf86-input-evdev 2.10.6-1
xf86-input-keyboard 1.9.0-3
xf86-input-mouse 1.9.3-1
xf86-input-synaptics 1.9.1-1
xf86-input-vmmouse 13.1.0-4
xf86-input-void 1.4.1-4
xf86-video-intel 1:2.99.917+863+g6afed33b-1
xfsprogs 4.20.0-2
xorg-docs 1.7.1-2
xorg-fonts-100dpi 1.0.3-4
xorg-fonts-75dpi 1.0.3-4
xorg-iceauth 1.0.8-1
xorg-luit 1.1.1-3
xorg-server-devel 1.20.4-1
xorg-server-xdmx 1.20.4-1
xorg-server-xephyr 1.20.4-1
xorg-server-xnest 1.20.4-1
xorg-server-xvfb 1.20.4-1
xorg-sessreg 1.1.1-2
xorg-smproxy 1.0.6-2
xorg-x11perf 1.6.1-1
xorg-xauth 1.0.10-2
xorg-xbacklight 1.2.2-1
xorg-xcmsdb 1.0.5-2
xorg-xcursorgen 1.0.7-1
xorg-xdpyinfo 1.3.2-2
xorg-xdriinfo 1.0.6-1
xorg-xev 1.2.3-1
xorg-xeyes 1.1.2-1
xorg-xgamma 1.0.6-2
xorg-xinit 1.4.1-1
xorg-xinput 1.6.2-2
xorg-xkbevd 1.1.4-2
xorg-xkbutils 1.0.4-3
xorg-xkill 1.0.5-1
xorg-xlsatoms 1.1.3-1
xorg-xlsclients 1.1.4-1
xorg-xmodmap 1.0.10-1
xorg-xpr 1.0.5-1
xorg-xprop 1.2.4-1
xorg-xrandr 1.5.0-2
xorg-xrefresh 1.0.6-1
xorg-xset 1.2.4-1
xorg-xsetroot 1.1.2-1
xorg-xvinfo 1.1.4-1
xorg-xwd 1.0.7-1
xorg-xwininfo 1.1.4-1
xorg-xwud 1.0.5-1
xournalpp 1.0.10-1
yaourt 1.9-1
youtube-dl 2019.04.30-1
zip 3.0-8
zotero 5.0.57-1
zsh 5.7.1-1
